x/c,r/R=0.50,x/c,r/R=0.68,x/c,r/R=0.80,x/c,r/R=0.89,x/c,r/R=0.96
0.00,-0.9138E+00,0.02,0.9416E+00,0.00,-0.1853E+00,0.01,0.4445E+00,0.00,-0.1092E+01
0.03,0.8691E+00,0.06,0.9399E+00,0.01,0.4832E+00,0.03,0.8531E+00,0.02,0.4984E+00
0.12,0.7173E+00,0.10,0.9083E+00,0.04,0.1152E+01,0.04,0.9171E+00,0.07,0.8911E+00
0.26,0.5317E+00,0.15,0.8169E+00,0.07,0.1091E+00?,0.00,0.9325E+00,0.12,0.9721E+00
0.47,0.3517E+00,0.19,0.7254E+00,0.09,0.1095E+01,0.10,0.1046E+01,0.15,0.1062E+01
0.69,0.2055E+00,0.23,0.6448E+00,0.13,0.1166E+01,0.13?,0.1108E+01,0.19,0.1099E+01?
0.83,0.8736E-01,0.29,0.5834E+00,0.17,0.1170E+01,0.17,0.1166E+01,0.23,0.1028E+01
,,0.33,0.5307E+00,0.21,0.1061E+01,0.21,0.1208E+01,0.29,0.9676E+00
,,0.39,0.4183E+00,0.24,0.7839E+00,0.26,0.1172E+01?,0.33,0.6605E+00
,,0.30?,,,,0.26,0.1372E+01?,0.33,0.6605E+00
,,0.44,0.3937E+00,0.30,0.4320E+00,0.30,0.1076E+01,0.39,0.2239E+00
,,0.32,0.3235E+00,0.35,0.4990E+00,0.35,0.3771E+00,0.44,0.1947E+00
,,0.61,0.2251E+00,0.42,0.4162E+00,0.40,0.2751E+00,0.50,0.1902E+00
,,0.73,0.1338E+00,0.50,0.3230E+00,0.47,0.2111E+00,0.61,0.1474E+00
,,0.80,0.6530E-01,0.54,0.2586E+00,0.52,0.1673E+00,0.69,0.1103E+00
,,,,0.65,0.1746E+00,0.65,0.9980E-01,0.76,0.6527E-01
,,,,0.76,0.7476E-01,0.73,0.5006E-01,0.90,-0.6074E-01
,,,,0.90,-0.8021E-01,0.80,-0.6794E-02?,,
,,,,,,0.87,-0.7194E-01,,
