case,element_idx,alpha_deg,cl,cd
0,1,-24.9999943,-0.7676,0.0483999997
0,2,0.7317636909041095,0.24143352520547948,0.009513434686027396
0,3,2.196784898219178,0.4155993645479451,0.00960787186260274
0,4,2.901807231643835,0.49907399890410953,0.009579638899041093
0,5,3.581551023424659,0.579427313109589,0.009570642000547944
0,6,3.7180698702739723,0.595208917328767,0.009521495371643833
0,7,3.714444138082192,0.5947897703424657,0.009522800433013697
0,8,3.618711202465753,0.5837230504520547,0.009557263930000002
0,9,3.5467780487671234,0.5754075722739725,0.009583160280000001
0,10,3.446168027808219,0.563626302150685,0.0095806206630137
0,11,3.30317235,0.5466956500000001,0.00952914264
0,12,3.09345388,0.5218023660000001,0.00954130944
0,13,2.8264440612328765,0.49015098717808225,0.009594711480000002
0,14,2.4806829880821923,0.4493051342602739,0.00962845515
0,15,1.9555990206849314,0.38702518091780824,0.00960000046
0,16,-3.7899897099999995,-0.297734827,0.009357998150000001
1,1,-24.9999943,-0.7676,0.0483999997
1,2,2.2301427147945208,0.4195489027534247,0.00960920565
1,3,4.227412337534245,0.6542798475616438,0.009227165873561642
1,4,5.101420191780823,0.7549025158082191,0.008897260861917807
1,5,5.864203548082193,0.8419649121095891,0.00865172781
1,6,5.926506406301368,0.849092398328767,0.008641758929999998
1,7,5.891271433287672,0.8450615148082191,0.008647396331917807
1,8,5.700252169452054,0.823208882739726,0.008685919459999998
1,9,5.496594547123289,0.7999131826712328,0.00875095371
1,10,5.266141044109589,0.7737336290410961,0.0088154804
1,11,4.996247186027397,0.7428677541369862,0.008951200284657535
1,12,4.657444486438356,0.7038746488082194,0.00905221328
1,13,4.259727151232877,0.6580245082465753,0.009205330478493153
1,14,3.7754434561643846,0.6018514745068494,0.009498804809999999
1,15,3.071986075068494,0.5192519870136986,0.00954560284
1,16,-3.7899897099999995,-0.297734827,0.009357998150000001
2,1,-24.9999943,-0.7676,0.0483999997
2,2,3.6733835852054786,0.5900431799452055,0.009537581980684932
2,3,6.271272621095891,0.8819573488493149,0.008859557494383562
2,4,7.797966829041095,0.9468087518219177,0.014051690497260273
2,5,8.94783115,0.982542813,0.0169876684
2,6,8.88435246260274,0.9802829258219178,0.016802310883561638
2,7,8.785232435890412,0.9767543014246576,0.016512881386301373
2,8,8.38256689479452,0.9628542799726026,0.015419374161643833
2,9,7.90093184,0.9494034649999998,0.0142699769
2,10,7.406472418219177,0.9315970071506848,0.01301315951369863
2,11,6.891467479041097,0.9072734054109589,0.01144835603150685
2,12,6.2835668590410965,0.8823950224246573,0.00891709478219178
2,13,5.73182344,0.8268206720000001,0.00867581647
2,14,5.108951662054796,0.7557640898219179,0.008893345301643837
2,15,4.228068225068494,0.6543559280136986,0.00922666769
2,16,-3.7899897099999995,-0.297734827,0.009357998150000001
3,1,-24.9999943,-0.7676,0.0483999997
3,2,5.066008014931507,0.750851348958904,0.00891567552
3,3,9.332755779726028,0.995516470780822,0.018267786972602743
3,4,10.982181615068491,1.0517295665753426,0.026073807790410956
3,5,11.986704654794519,1.0903331000000003,0.03137810077945205
3,6,11.755891547945206,1.0839625830136985,0.029956298131506853
3,7,11.606746491780823,1.079215866849315,0.029100592180821918
3,8,11.096351832876715,1.05609262,0.02667332242328767
3,9,10.455265246575342,1.0328822247945206,0.023303487324657528
3,10,9.78669091931507,1.0090088931506849,0.0201455717109589
3,11,9.073498637671232,0.9869577298082189,0.017378136120547946
3,12,8.30025377780822,0.9600885444246575,0.015208650230136983
3,13,7.458911571232878,0.933841407,0.013168379641095893
3,14,6.539077084246574,0.8916787623150686,0.010095688846575343
3,15,5.412610530000001,0.79037255,0.00877446868
3,16,-3.7899897099999995,-0.297734827,0.009357998150000001
4,1,-24.9999943,-0.7676,0.0483999997
4,2,6.568601770136987,0.8928715451369863,0.010220874157534247
4,3,12.171201179452053,1.0992600735616436,0.032233832258904103
4,4,13.836616708219182,1.161164653150685,0.041879707321917814
